aard	0	0	1	1	1.0
ab	91	0	119	210	0.5666666666666667
ace	14	0	1	15	0.06666666666666667
ache	2	0	1	3	0.3333333333333333
ach	8	1	2	11	0.18181818181818182
act	34	0	2	36	0.05555555555555555
ac	47	6	152	205	0.7414634146341463
add	17	0	4	21	0.19047619047619047
adz	0	0	1	1	1.0
ad	46	5	151	202	0.7475247524752475
aer	0	0	20	20	1.0
aes	0	0	5	5	1.0
ae	0	25	3	28	0.10714285714285714
aft	13	0	1	14	0.07142857142857142
af	12	1	51	64	0.796875
age	5	0	3	8	0.375
ag	29	3	31	63	0.49206349206349204
aid	0	1	2	3	0.6666666666666666
aide	1	0	1	2	0.5
ail	2	0	3	5	0.6
aim	0	0	3	3	1.0
ain	1	0	1	2	0.5
air	1	1	37	39	0.9487179487179487
airs	5	0	1	6	0.16666666666666666
aisle	0	0	1	1	1.0
ai	2	49	3	54	0.05555555555555555
ak	2	0	1	3	0.3333333333333333
alb	9	0	1	10	0.1
ale	7	0	4	11	0.36363636363636365
alias	2	0	1	3	0.3333333333333333
all	70	0	3	73	0.0410958904109589
alms	0	0	3	3	1.0
alp	7	0	1	8	0.125
alum	7	0	1	8	0.125
al	45	14	160	219	0.730593607305936
amp	23	0	1	24	0.041666666666666664
am	58	1	89	148	0.6013513513513513
anal	19	0	1	20	0.05
and	10	0	2	12	0.16666666666666666
angst	1	0	1	2	0.5
ang	34	1	1	36	0.027777777777777776
ankh	0	0	1	1	1.0
anon	3	0	1	4	0.25
ant	100	0	9	109	0.08256880733944955
anx	0	0	3	3	1.0
an	31	19	293	343	0.8542274052478134
ape	6	0	2	8	0.25
aph	10	0	4	14	0.2857142857142857
apse	0	0	1	1	1.0
apt	1	0	3	4	0.75
ap	51	10	121	182	0.6648351648351648
aq	8	0	9	17	0.5294117647058824
arc	24	15	2	41	0.04878048780487805
arch	20	1	13	34	0.38235294117647056
arched	0	0	1	1	1.0
arcs	0	0	1	1	1.0
are	5	0	1	6	0.16666666666666666
ark	1	0	1	2	0.5
arm	17	2	10	29	0.3448275862068966
armed	0	0	1	1	1.0
arms	0	0	1	1	1.0
art	24	1	13	38	0.34210526315789475
arts	0	0	1	1	1.0
ar	18	45	164	227	0.7224669603524229
ascetic	2	0	1	3	0.3333333333333333
ash	3	1	9	13	0.6923076923076923
ashe	2	0	1	3	0.3333333333333333
ask	2	0	2	4	0.5
asp	27	0	2	29	0.06896551724137931
ass	74	0	2	76	0.02631578947368421
asth	0	0	2	2	1.0
as	28	19	149	196	0.7602040816326531
ate	3	0	1	4	0.25
ath	6	0	5	11	0.45454545454545453
attn	0	0	1	1	1.0
at	31	7	69	107	0.6448598130841121
auc	0	0	3	3	1.0
aught	0	0	1	1	1.0
aug	8	1	4	13	0.3076923076923077
auk	0	0	1	1	1.0
auld	0	0	1	1	1.0
aunt	0	0	2	2	1.0
aus	0	0	13	13	1.0
